,symbol,ticker
260,CAPACITE,21749
261,CAPLIPOINT,3906
262,CAPTRUST,19447
263,CARBORUNIV,595
264,CAREERP,20086
265,CARERATING,29113
266,CASTROLIND,1250
267,CCCL,14996
268,CCHHL,6385
269,CCL,11452
270,CDSL,21174
271,CEATLTD,15254
272,CEBBCO,20228
273,CELEBRITY,13165
274,CENTENKA,619
275,CENTEXT,11511
276,CENTRALBK,14894
277,CENTRUM,2454
278,CENTUM,14982
279,CENTURYPLY,13305
280,CENTURYTEX,625
281,CERA,15039
282,CEREBRAINT,30012
283,CESC,628
284,CGCL,20329
285,CGPOWER,760
286,CHALET,8546
287,CHAMBLFERT,637
288,CHEMBOND,14618
289,CHEMCON,270
290,CHEMFAB,2799
291,CHENNPETRO,2049
292,CHOLAFIN,685
293,CHOLAHLDNG,21740
294,CIGNITITEC,5142
295,CINELINE,27161
296,CINEVISTA,8024
297,CIPLA,694
298,CLEDUCATE,20223
299,CLNINDIA,715
300,CMICABLES,19133
301,CNOVAPETRO,31843
302,COALINDIA,20374
303,COCHINSHIP,21508
304,COFORGE,11543
305,COLPAL,15141
306,COMPINFO,17632
307,COMPUSOFT,31138
308,CONCOR,4749
309,CONFIPET,10238
310,CONSOFINVT,11731
311,CONTROLPR,17477
312,CORALFINAC,4007
313,CORDSCABLE,15271
314,COROMANDEL,739
315,COSMOFILMS,742
316,COUNCODOS,16989
317,COX&KINGS,15874
318,CREATIVE,11155
319,CREATIVEYE,9384
320,CREDITACC,4421
321,CREST,13900
322,CRISIL,757
323,CROMPTON,17094
324,CSBBANK,14966
325,CTE,14218
326,CUB,5701
327,CUBEXTUB,4064
328,CUMMINSIND,1901
329,CUPID,18520
330,CYBERMEDIA,11845
331,CYBERTECH,6051
332,CYIENT,5748
333,DAAWAT,13816
334,DABUR,772
335,DALBHARAT,8075
336,DALMIASUG,781
337,DAMODARIND,17541
338,DANGEE,1110
339,DATAMATICS,11423
340,DBCORP,17881
341,DBL,18086
342,DBREALTY,18128
343,DBSTOCKBRO,31107
344,DCAL,21704
345,DCBBANK,13725
346,DCM,805
347,DCMFINSERV,8704
348,DCMNVL,11041
349,DCMSHRIRAM,811
350,DCW,817
351,DECCANCE,14838
352,DEEPAKFERT,827
353,DEEPAKNTR,19943
354,DEEPENR,18244
355,DELTACORP,15044
356,DELTAMAGNT,1214
357,DEN,17722
358,DENORA,4279
359,DFMFOODS,19271
360,DGCONTENT,10346
361,DHAMPURSUG,857
362,DHANBANK,11359
363,DHANI,15384
364,DHANUKA,24409
365,DHARSUGAR,866
366,DHFL,842
367,DHUNINV,22233
368,DIAMONDYD,21840
369,DICIND,703
370,DIGISPICE,16687
371,DIGJAMLTD,13315
372,DISHTV,14537
373,DIVISLAB,10940
374,DIXON,21690
375,DLF,14732
376,DLINKINDIA,17851
377,DMART,19913
378,DOLAT,12124
379,DOLLAR,20560
380,DONEAR,13839
381,DPABHUSHAN,936
382,DPSCLTD,15419
383,DPWIRES,16900
384,DREDGECORP,11271
385,DRREDDY,881
386,DSSL,25690
387,DTIL,6227
388,DUCON,28952
389,DVL,15214
390,DWARKESH,11667
391,DYNAMATECH,4525
392,DYNPRO,21314
393,EASUNREYRL,3945
394,EBIXFOREX,24391
395,ECLERX,15179
396,EDELWEISS,15119
397,EDUCOMP,21747
398,EICHERMOT,910
399,EIDPARRY,916
400,EIHAHOTELS,15399
401,EIHOTEL,919
402,EIMCOELECO,4040
403,EKC,13091
404,ELECON,13643
405,ELECTCAST,928
406,ELECTHERM,4469
407,ELGIEQUIP,937
408,ELGIRUBCO,24924
409,EMAMILTD,13517
410,EMAMIPAP,10074
411,EMAMIREAL,19277
412,EMCO,270
413,EMKAY,13421
414,EMMBI,18142
415,ENDURANCE,18822
416,ENERGYDEV,15053
417,ENGINERSIN,4907
418,ENIL,13192
419,EPL,981
420,EQUITAS,16852
421,EQUITASBNK,913
422,ERIS,21154
423,EROSMEDIA,20080
424,ESABINDIA,955
425,ESCORTS,958
426,ESSARSHPNG,25634
427,ESTER,24265
428,EUROTEXIND,999
429,EVEREADY,11782
430,EVERESTIND,993
431,EXCEL,17376
432,EXCELINDUS,11471
433,EXIDEIND,676
434,EXPLEOSOL,17486
435,FACT,1008
436,FAIRCHEMOR,1614
437,FCL,6198
438,FCONSUMER,30038
439,FCSSOFT,12002
440,FDC,4898
441,FEDERALBNK,1023
442,FEL,10516
443,FELDVR,17002
444,FIEMIND,13710
445,FILATEX,24532
446,FINCABLES,1038
447,FINEORG,3744
448,FINPIPE,1041
449,FLEXITUFF,25512
450,FLFL,30752
451,FLUOROCHEM,13750
452,FMGOETZE,1190
453,FMNL,21017
454,FORCEMOT,11573
455,FORTIS,14592
456,FOSECOIND,1073
457,FRETAIL,18378
458,FSC,744
459,FSL,14304
460,GABRIEL,1085
461,GAEL,8828
462,GAIL,4717
463,GAL,20296
464,GALAXYSURF,1315
465,GALLANTT,13337
466,GALLISPAT,20140
467,GAMMNINFRA,15389
468,GANDHITUBE,14116
